version,species,unit,component,year,n,ess_fraction,q05,q50,q95,mean,q05u,q50u,q95u,meanu
mengel,co2,cm/GtCO2,lws,2150,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengel,co2,cm/GtCO2,lws,2300,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengel,ch4,cm/Tg,total,2100,10000,1.0,0.00019558161420718518,0.00027966081847098775,0.0004118572328053901,0.0010426467924795142,0.00019558161420718518,0.00027966081847098775,0.0004118572328053901,0.0010426467924795145
mengel,ch4,cm/Tg,total,2150,10000,1.0,0.0001679076754328431,0.0002578312000878217,0.0004095845460483902,0.0011358116429556024,0.0001679076754328431,0.0002578312000878217,0.0004095845460483902,0.0011358116429556026
mengel,ch4,cm/Tg,total,2300,10000,1.0,0.00012019998227685844,0.0002120540179362284,0.00041896360619397886,0.0010564800970460757,0.00012019998227685844,0.0002120540179362284,0.00041896360619397886,0.0010564800970460759
mengel,ch4,cm/Tg,ais,2100,10000,1.0,3.309538473672539e-05,5.905021652097284e-05,0.00010890705976863273,0.0008167131513092927,3.309538473672539e-05,5.905021652097284e-05,0.00010890705976863273,0.0008167131513092927
mengel,ch4,cm/Tg,ais,2150,10000,1.0,3.764923972582319e-05,6.938111235399547e-05,0.00014227399819341196,0.0009426381162724713,3.764923972582319e-05,6.938111235399547e-05,0.00014227399819341196,0.0009426381162724717
mengel,ch4,cm/Tg,ais,2300,10000,1.0,4.2177776492735514e-05,8.40446306256211e-05,0.00021582385670675412,0.0009232622362116861,4.2177776492735514e-05,8.40446306256211e-05,0.00021582385670675412,0.0009232622362116862
mengel,ch4,cm/Tg,gsic,2100,10000,1.0,1.3767687889298939e-05,2.218317440849696e-05,3.797644574632848e-05,2.3542142234906374e-05,1.3767687889298939e-05,2.218317440849696e-05,3.797644574632848e-05,2.354214223490638e-05
mengel,ch4,cm/Tg,gsic,2150,10000,1.0,7.716970582549715e-06,1.3376243517271772e-05,2.501118109421868e-05,1.4509813738152918e-05,7.716970582549715e-06,1.3376243517271772e-05,2.501118109421868e-05,1.4509813738152922e-05
mengel,ch4,cm/Tg,gsic,2300,10000,1.0,2.167345824588551e-06,4.858394081708553e-06,1.2637095402119575e-05,5.824959077306944e-06,2.167345824588551e-06,4.858394081708553e-06,1.2637095402119575e-05,5.824959077306946e-06
mengel,ch4,cm/Tg,gis,2100,10000,1.0,1.2354550182891415e-05,3.511615656037934e-05,8.211792463798478e-05,3.9822615995985265e-05,1.2354550182891415e-05,3.511615656037934e-05,8.211792463798478e-05,3.9822615995985265e-05
mengel,ch4,cm/Tg,gis,2150,10000,1.0,1.3632680229136357e-05,3.887805357827406e-05,9.474346445159898e-05,4.4736107784182085e-05,1.3632680229136357e-05,3.887805357827406e-05,9.474346445159898e-05,4.4736107784182085e-05
mengel,ch4,cm/Tg,gis,2300,10000,1.0,1.4312858453990825e-05,4.110475382290781e-05,0.00010595946938000037,4.81698220650779e-05,1.4312858453990825e-05,4.110475382290781e-05,0.00010595946938000037,4.8169822065077915e-05
mengel,ch4,cm/Tg,te,2100,10000,1.0,0.00010306446951346958,0.0001586181596913163,0.00023274746959959163,0.00016256888293935754,0.00010306446951346958,0.0001586181596913163,0.00023274746959959163,0.00016256888293935754
mengel,ch4,cm/Tg,te,2150,10000,1.0,7.354355631861154e-05,0.00013110194875310763,0.0002014317947143511,0.00013392760516125752,7.354355631861154e-05,0.00013110194875310763,0.0002014317947143511,0.00013392760516125755
mengel,ch4,cm/Tg,te,2300,10000,1.0,2.4601874397234266e-05,7.712940277571308e-05,0.00014092566714655078,7.922307969170554e-05,2.4601874397234266e-05,7.712940277571308e-05,0.00014092566714655078,7.922307969170554e-05
mengel,ch4,cm/Tg,lws,2100,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengel,ch4,cm/Tg,lws,2150,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengel,ch4,cm/Tg,lws,2300,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
