year,mean,p5,p50,p95,mean_AIS_tipping,mean_AIS_quiescent,frac_AIS_tipping
2210,0.18513057041415573,0.03905050185527159,0.09199493087737665,0.9158781971645453,0.20017405507457758,0.17259502000160132,0.45453187101667497
2211,0.18543822981028782,0.03918724350342018,0.09233376520717229,0.9161954356142132,0.2005152257118334,0.17287475489340637,0.45453187101667497
2212,0.18574438306893956,0.03932533518248249,0.09267232677376569,0.9165200245041092,0.20085480181784493,0.17315305730516545,0.45453187101667497
2213,0.18831565694893063,0.0394665295312393,0.09302053924648135,0.9423161240748357,0.2011908032397356,0.17758695618307546,0.45453187101667497
2214,0.18863796828440507,0.039602148433360185,0.09337038137027776,0.9424371576573947,0.2015230326090086,0.17790100294318845,0.45453187101667497
2215,0.1889393781538005,0.03974209888217217,0.09371490459483311,0.9425659869319247,0.20185450579766553,0.17817736141906176,0.45453187101667497
2216,0.1892375815581829,0.03987632194269963,0.09404901824939316,0.9427096598291484,0.20218195953769155,0.17845119087915393,0.45453187101667497
2217,0.18953367084852152,0.04001420147613999,0.0943815173837379,0.9428138943175668,0.20250611399294402,0.1787238938133686,0.45453187101667497
2218,0.18982599317693002,0.04014958960836168,0.09468457341290559,0.9429480068535554,0.20282740924340417,0.1789920733628149,0.45453187101667497
2219,0.19011587362998514,0.04028254321474378,0.09471693154932836,0.9430588070752322,0.20314477738117734,0.1792590486668779,0.45453187101667497
2220,0.19040443169357082,0.04041373469610221,0.09507433759330297,0.943174529231527,0.20346019737012663,0.17952522301903143,0.45453187101667497
2221,0.19085248479775327,0.04054340392063693,0.09543177311269346,0.9433094553925514,0.20377382938906202,0.18008528755731049,0.45453187101667497
2222,0.19255348732314023,0.040672635265423196,0.09578542552225144,0.9434517530088726,0.20408335146811935,0.18294579359380483,0.45453187101667497
2223,0.1928460764675099,0.04080356926957052,0.09600157714521629,0.9435719812502725,0.20438970223634528,0.1832269153465758,0.45453187101667497
2224,0.19312647596894705,0.04093238530980159,0.09628360142431802,0.9437077483513576,0.20469450704599565,0.18348697820538348,0.45453187101667497
2225,0.1934050193486026,0.04105945239064113,0.09664210482230828,0.9438195903329358,0.20499520618286743,0.18374705946553804,0.45453187101667497
2226,0.19368214766294015,0.04118756012991298,0.09704745027841,0.9439605965986573,0.20529313873542854,0.1840068518644988,0.45453187101667497
2227,0.19395725542047418,0.04131607419309091,0.09744268540077883,0.9441062722372067,0.2055887556308582,0.18426486961012314,0.45453187101667497
2228,0.19422940262445273,0.04143835358340198,0.0977666813296878,0.9442580238153084,0.2058807701969774,0.18452046158602123,0.45453187101667497
2229,0.19449926939297052,0.041560384100037595,0.09811011243772327,0.9443939827899328,0.2061694585414973,0.18477464456716242,0.45453187101667497
2230,0.19476629557417782,0.04168578090488495,0.0982917301132602,0.9445138407500338,0.2064555074833246,0.1850258193163298,0.45453187101667497
2231,0.19503169727414194,0.04181054142649998,0.0984694317096455,0.9446620211872983,0.20673866905703148,0.1852764219323284,0.45453187101667497
2232,0.19529514281457572,0.041929676773577285,0.09864465726656135,0.9447967843162814,0.20701970545307558,0.18552520922952392,0.45453187101667497
2233,0.19555661941638844,0.04205343674104256,0.09893078812967815,0.9449361911442793,0.20729877927246826,0.18577202228674752,0.45453187101667497
2234,0.1958168134506732,0.04218421513340331,0.09915916013488868,0.9450884692693649,0.20757489059258485,0.18601895264286997,0.45453187101667497
