year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2128,0.018840689374816397,0.00019413022182731754,0.00033262759501654824,0.0029696665169871477,0.015344265040985385,0.023653331688386754,0.010303774876029946,0.0176547465116196,0.15761984383419553,0.814421634778155,0.0051801323549511835,0.007711645368402742,0.009639072340632993
2129,0.01883941616642855,0.00019409090511724565,0.0003322979409846991,0.002968233062293868,0.015344794258032736,0.02369331636744042,0.010302384288485098,0.017638441555150056,0.15755440805979953,0.8145047660965653,0.005204494403727722,0.007751345704775758,0.009705484083809779
2130,0.01918759329063298,0.00021014265584645746,0.00032074705827707145,0.003051822408587504,0.015604881167921946,0.024069864456743483,0.010952006990321457,0.016716377787393176,0.15905186035381239,0.813279754868473,0.0052294021419356795,0.007790144853260017,0.009776042176838473
2131,0.019192250357815698,0.00021011641734920312,0.00032191321074099915,0.0030473956819213246,0.01561282504780417,0.024116527377957858,0.010947982307016801,0.0167730831319583,0.1587826140815388,0.8134963204794861,0.005254990969284279,0.007828901019564682,0.009845171600318281
2132,0.019216061534180744,0.00021304540001690692,0.00032969522651133277,0.0030423191797854035,0.015631001727867102,0.024184962129558372,0.011086840018593325,0.017157273665307764,0.15832168180632908,0.8134342045097699,0.005279742499197937,0.007867048415107547,0.00991216501770964
2133,0.019220713176373066,0.00021313960478198203,0.00033404233812687036,0.0030461319638715413,0.01562739926959267,0.02423405416162612,0.01108905808156913,0.017379289470772066,0.15848173457038933,0.8130499178772694,0.0053035629589430755,0.00790646501422998,0.009978261761887097
2134,0.01929141312702892,0.00021278412780785085,0.0003348297311101113,0.003028846370140918,0.01571495289797004,0.02432884892764495,0.011029991758857835,0.017356412871641125,0.15700489902926007,0.814608696340241,0.005326333197558597,0.007942824554959316,0.010046496338702582
2135,0.019323121887579803,0.00021301907263342206,0.0003384660973594915,0.003040752515082952,0.015730884202503938,0.024404726295959255,0.01102405055832841,0.017516118737368476,0.15736341843589138,0.8140964122684117,0.005350403283927108,0.007984470203894034,0.010115352424890034
2136,0.019319252614813914,0.00021269112411793678,0.00033956971677070384,0.0030408040421698963,0.015726187731755378,0.024446034292904633,0.011009283244986724,0.017576752245080297,0.1573976024226849,0.8140163620872481,0.005371561603368491,0.00802239838293417,0.010177932789446231
2137,0.019337912713290828,0.00021239058072101857,0.0003384829815527518,0.003051195091866861,0.015735844059150197,0.024509844774539356,0.010983118181883396,0.017503594445336106,0.15778306258305702,0.8137302247897235,0.0053933492875444244,0.008060560198089206,0.010243923937025556
2138,0.01943951221841102,0.00022140579219661352,0.000389702694959985,0.0030284119477463857,0.015799991783508036,0.02465497367188256,0.011389472621999316,0.02004693793658569,0.15578641653766387,0.8127771729037511,0.005416443582703323,0.008097411045071112,0.010312348475395083
