year,ssp_label,component,p05,p50,p95
2060,SSP3-7.0,ais,3.1384462279326466,3.4491542898351852,18.63434965402041
2060,SSP3-7.0,gsic,3.6971678640398675,4.030371281054929,4.579038393844631
2060,SSP3-7.0,gis,2.875122765625307,3.8297557999640435,5.126853532896058
2060,SSP3-7.0,te,9.303433114132888,10.057628099315172,10.74352746173925
2060,SSP3-7.0,lws,1.1364891211721935,1.1364891211721935,1.1364891211721935
2070,SSP3-7.0,ais,4.152392192191782,10.961251671440426,32.277561184036884
2070,SSP3-7.0,gsic,4.2913800069803845,4.683323486992778,5.366439075153787
2070,SSP3-7.0,gis,3.4486025070127226,4.715807694232712,6.482073303587887
2070,SSP3-7.0,te,11.693931590945391,12.641915464721833,13.504055292467326
2070,SSP3-7.0,lws,1.3560984495458617,1.3560984495458617,1.3560984495458617
2080,SSP3-7.0,ais,5.696049646755568,24.86972382254119,46.06526877956075
2080,SSP3-7.0,gsic,4.850320349709857,5.297765723371722,6.137434381031001
2080,SSP3-7.0,gis,4.052190530354111,5.682039393337961,8.012819462151898
2080,SSP3-7.0,te,14.31891035133592,15.479691564869562,16.535359011510216
2080,SSP3-7.0,lws,1.6813350077698215,1.6813350077698215,1.6813350077698215
2090,SSP3-7.0,ais,18.2552912035681,38.898230653091886,60.004970377664144
2090,SSP3-7.0,gsic,5.370442673939898,5.87251917701651,6.8647042609848015
2090,SSP3-7.0,gis,4.670725983635409,6.731246695521458,9.746839279484918
2090,SSP3-7.0,te,17.20829590110073,18.6033089369259,19.871997499757576
2090,SSP3-7.0,lws,1.9277059081452534,1.9277059081452534,1.9277059081452534
2100,SSP3-7.0,ais,32.46382282299981,53.08547736521629,74.12571376788229
2100,SSP3-7.0,gsic,5.843748070267104,6.406068744946587,7.55457203538948
2100,SSP3-7.0,gis,5.3152323566542865,7.877439033596108,11.685469925588622
2100,SSP3-7.0,te,20.355246942890037,22.005371684814996,23.506070483724383
2100,SSP3-7.0,lws,2.1602211518313528,2.1602211518313528,2.1602211518313528
2000,SSP5-8.5,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP5-8.5,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP5-8.5,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP5-8.5,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP5-8.5,lws,0.0,0.0,0.0
2010,SSP5-8.5,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP5-8.5,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP5-8.5,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP5-8.5,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP5-8.5,lws,0.0,0.0,0.0
2020,SSP5-8.5,ais,0.5971289174826895,0.6350960485867216,0.6784359440763896
2020,SSP5-8.5,gsic,1.0638226028387652,1.1524381294232555,1.2683756033600342
2020,SSP5-8.5,gis,0.7495543189272571,0.9158836682471125,1.1150771567101576
2020,SSP5-8.5,te,2.122795216372885,2.29488238969015,2.45138632405554
2020,SSP5-8.5,lws,0.04013203135342855,0.04013203135342855,0.04013203135342855
2030,SSP5-8.5,ais,1.1195657653964743,1.1935154089162272,1.2752118856458674
2030,SSP5-8.5,gsic,1.7716240051041716,1.9272248805705576,2.1465356168587353
2030,SSP5-8.5,gis,1.261966398331115,1.5816992053800647,1.9827902141595088
2030,SSP5-8.5,te,3.8473718500859424,4.159264085980922,4.442913128931908
2030,SSP5-8.5,lws,0.3053089439907478,0.3053089439907478,0.3053089439907478
2040,SSP5-8.5,ais,1.7516275643098005,1.8779980239422196,2.09706140194691
2040,SSP5-8.5,gsic,2.4750244078747445,2.700932063491572,3.0365898963610105
2040,SSP5-8.5,gis,1.7969083760258286,2.316295927851137,2.9938435075657774
2040,SSP5-8.5,te,5.8466427913835455,6.32060854352241,6.751654643788278
2040,SSP5-8.5,lws,0.6697216986595129,0.6697216986595129,0.6697216986595129
2050,SSP5-8.5,ais,2.547114736685862,2.8072433674371666,15.407540358624313
2050,SSP5-8.5,gsic,3.1646079983534845,3.4604593982165075,3.9333313553131806
2050,SSP5-8.5,gis,2.357570858197766,3.1331529241224536,4.183154019825357
2050,SSP5-8.5,te,8.226729776536596,8.893640396067816,9.500159370229063
2050,SSP5-8.5,lws,1.0034443642473283,1.0034443642473283,1.0034443642473283
2060,SSP5-8.5,ais,3.654728534309864,13.670442808312705,29.080335476117327
2060,SSP5-8.5,gsic,3.8277207647772085,4.191233007014154,4.814077825708182
2060,SSP5-8.5,gis,2.946141882946215,4.049300291801803,5.604590280763377
2060,SSP5-8.5,te,10.975771591309313,11.865536884520985,12.674730076349833
2060,SSP5-8.5,lws,1.3164759749007284,1.3164759749007284,1.3164759749007284
2070,SSP5-8.5,ais,10.33109456320338,27.48586515133472,42.95881782557531
2070,SSP5-8.5,gsic,4.447430746674082,4.875114286376999,5.666175494529653
2070,SSP5-8.5,gis,3.565968465710561,5.074221348786027,7.265068667469347
2070,SSP5-8.5,te,14.074655326125526,15.21563568626888,16.253295332562576
2070,SSP5-8.5,lws,1.5981775516075503,1.5981775516075503,1.5981775516075503
2080,SSP5-8.5,ais,24.647765057905126,41.537309477543516,57.090177058007086
2080,SSP5-8.5,gsic,5.02318649377816,5.51168549808999,6.477740920168979
2080,SSP5-8.5,gis,4.216045927794719,6.221281816851532,9.220643072315655
2080,SSP5-8.5,te,17.553227949613852,18.976203353526785,20.270322170894868
2080,SSP5-8.5,lws,1.9605636401676025,1.9605636401676025,1.9605636401676025
2090,SSP5-8.5,ais,39.2551018479194,55.98268763966257,71.49897260182507
2090,SSP5-8.5,gsic,5.551751063205202,6.092862893879589,7.241930924147706
2090,SSP5-8.5,gis,4.896253011349317,7.494424519667731,11.490349590256226
2090,SSP5-8.5,te,21.424635363517957,23.161451477773454,24.74099136973892
2090,SSP5-8.5,lws,2.2343385892135754,2.2343385892135754,2.2343385892135754
2100,SSP5-8.5,ais,54.141550692541514,70.76535650502737,86.19974256584108
2100,SSP5-8.5,gsic,6.030265189182083,6.626440514282628,7.947286895783591
2100,SSP5-8.5,gis,5.618921447745168,8.908078197822512,14.104564184623396
2100,SSP5-8.5,te,25.606477023048093,27.68229960617935,29.570147462832914
2100,SSP5-8.5,lws,2.5240002332281004,2.5240002332281004,2.5240002332281004
