year,dt_glob,secant,slope,model,scenario
1997.5,0.6782307057349707,1.5010242775694946,1.43107677583607,INM-CM4-8,ssp585
1998.5,0.7107967196787627,1.5060690043330676,1.4509697336994192,INM-CM4-8,ssp585
1999.5,0.731732655075361,1.4019220231730103,1.3567074766756293,INM-CM4-8,ssp585
2000.5,0.7474568695394604,1.2905330709345113,1.2771115795142651,INM-CM4-8,ssp585
2001.5,0.7664435555448771,1.2980964890570947,1.2369664240751979,INM-CM4-8,ssp585
2002.5,0.787052386197386,1.279004284854637,1.2203859490802904,INM-CM4-8,ssp585
2003.5,0.8075554391174383,1.251004620936316,1.1802278545713556,INM-CM4-8,ssp585
2004.5,0.8250050909233114,1.2321721768848504,1.1623976961624958,INM-CM4-8,ssp585
2005.5,0.8377983235335875,1.2519282676795769,1.1918726010898921,INM-CM4-8,ssp585
2006.5,0.8536782126664036,1.2156121977798244,1.1554745653182383,INM-CM4-8,ssp585
2007.5,0.8844788704444094,1.2137458104705696,1.1658146456034468,INM-CM4-8,ssp585
2008.5,0.9219630839418035,1.2228183957031988,1.163003455389837,INM-CM4-8,ssp585
2009.5,0.9515069654591267,1.1387144064716226,1.0934929834975016,INM-CM4-8,ssp585
2010.5,0.9756437093758829,1.0593344104668228,1.0413215696017433,INM-CM4-8,ssp585
2011.5,1.0006772067434004,1.0692521470432694,1.0379523738274163,INM-CM4-8,ssp585
2012.5,1.0221364630001175,0.9763023584281891,0.9452299040355084,INM-CM4-8,ssp585
2013.5,1.045318213787861,1.0108720674533376,0.983931535712586,INM-CM4-8,ssp585
2014.5,1.0691789827112,1.0331696848617602,1.0110931679044932,INM-CM4-8,ssp585
2015.5,1.0915108441745456,1.079865918985243,1.066618977660762,INM-CM4-8,ssp585
2016.5,1.1134766571277415,1.0785044285189458,1.0825712942775338,INM-CM4-8,ssp585
2017.5,1.1440345795008966,1.0931205300081392,1.1224603603774368,INM-CM4-8,ssp585
2018.5,1.170476170949047,1.1319343630417762,1.1522009071488672,INM-CM4-8,ssp585
2019.5,1.1934443117854945,1.1081112387248335,1.1349439536371961,INM-CM4-8,ssp585
2020.5,1.2185989217725839,1.1238518025768833,1.1583044140610932,INM-CM4-8,ssp585
2021.5,1.2453625349051984,1.11969285646271,1.1636377826286783,INM-CM4-8,ssp585
2022.5,1.271272213520742,1.1303242946983831,1.176525370754154,INM-CM4-8,ssp585
2023.5,1.2994369930565028,1.142950129475313,1.1767364182516418,INM-CM4-8,ssp585
2024.5,1.325803226904958,1.0984727932837677,1.1306049074949753,INM-CM4-8,ssp585
2025.5,1.3528708941261585,1.0938779963188474,1.1298477374518445,INM-CM4-8,ssp585
2026.5,1.3810114531867725,1.1359272130043192,1.1890820378351092,INM-CM4-8,ssp585
2027.5,1.4096785395862053,1.152618803419502,1.1989279800127552,INM-CM4-8,ssp585
2028.5,1.436310470140836,1.1221002158469189,1.16758304765794,INM-CM4-8,ssp585
2029.5,1.4696200390140006,1.148700131950933,1.1826064741081472,INM-CM4-8,ssp585
2030.5,1.506391729237932,1.1594832945901994,1.1861393912044724,INM-CM4-8,ssp585
2031.5,1.5403286167594425,1.193027825941441,1.2094867889862069,INM-CM4-8,ssp585
2032.5,1.5726157249468808,1.2358135145140738,1.2598994688740508,INM-CM4-8,ssp585
2033.5,1.6056790257396585,1.2795788088291624,1.3047519741175326,INM-CM4-8,ssp585
2034.5,1.6435963568714689,1.2990402592720371,1.3247704799929296,INM-CM4-8,ssp585
2035.5,1.6767612210682539,1.3062763210961197,1.3387891662356721,INM-CM4-8,ssp585
2036.5,1.7120746083931333,1.310223394599546,1.3354498677790756,INM-CM4-8,ssp585
2037.5,1.7434975490473845,1.3222312661045137,1.350012349213206,INM-CM4-8,ssp585
2038.5,1.7719729284146921,1.3412624520441068,1.3692476114275391,INM-CM4-8,ssp585
2039.5,1.805047911559194,1.3808365176690764,1.4058932620410571,INM-CM4-8,ssp585
2040.5,1.8424797371018429,1.4095298711698643,1.4340514760492469,INM-CM4-8,ssp585
2041.5,1.8770878207931123,1.4428986433685784,1.4666733290390888,INM-CM4-8,ssp585
2042.5,1.9128450937221506,1.5036924541522327,1.523864352383561,INM-CM4-8,ssp585
2043.5,1.9477559656911467,1.505458470866382,1.5246450565254186,INM-CM4-8,ssp585
2044.5,1.980526618392713,1.5047474793507605,1.520917700156226,INM-CM4-8,ssp585
2045.5,2.013606629976897,1.4969664320401823,1.5136985430819465,INM-CM4-8,ssp585
2046.5,2.053656637566966,1.4761250235494758,1.4893836477261508,INM-CM4-8,ssp585
2047.5,2.090452404443331,1.5173334444277793,1.5474967591550477,INM-CM4-8,ssp585
2048.5,2.126582423913527,1.5520674293692163,1.5861664400518256,INM-CM4-8,ssp585
2049.5,2.1619798593510327,1.5534704661937204,1.5824988635808117,INM-CM4-8,ssp585
2050.5,2.2032481258567276,1.5533943455013748,1.5821179604133822,INM-CM4-8,ssp585
2051.5,2.2475057306127364,1.5417091170582868,1.5646938653803448,INM-CM4-8,ssp585
2052.5,2.2953496577532957,1.5594986347663975,1.5852343394191577,INM-CM4-8,ssp585
2053.5,2.3368233823124287,1.576201949867978,1.5967374691784055,INM-CM4-8,ssp585
2054.5,2.378601645461229,1.6038198646669812,1.6172187280393306,INM-CM4-8,ssp585
2055.5,2.419835820500013,1.6262369648836144,1.6399864636540347,INM-CM4-8,ssp585
2056.5,2.462094781894359,1.5963201768220083,1.6123572424486314,INM-CM4-8,ssp585
2057.5,2.5083597392966057,1.5946393499348854,1.6042125288668125,INM-CM4-8,ssp585
2058.5,2.5525219754164237,1.6390310438926707,1.6474561907708618,INM-CM4-8,ssp585
2059.5,2.5924089030146527,1.6497241706563759,1.6541962042392535,INM-CM4-8,ssp585
2060.5,2.6353225274326255,1.6664057083987978,1.6679355678917154,INM-CM4-8,ssp585
2061.5,2.6753388253292107,1.6694937811573192,1.6669060889326854,INM-CM4-8,ssp585
2062.5,2.714942867792295,1.667620158663195,1.6693375714705603,INM-CM4-8,ssp585
2063.5,2.7515965952721424,1.6450043542185455,1.6449310636897463,INM-CM4-8,ssp585
2064.5,2.789945901705236,1.6516908780545687,1.6518807445713024,INM-CM4-8,ssp585
2065.5,2.8330250710022615,1.638614495108153,1.6369370824718028,INM-CM4-8,ssp585
2066.5,2.870425720125786,1.6658316790102214,1.6631855282422319,INM-CM4-8,ssp585
2067.5,2.9105120849777735,1.6621915676221926,1.6588324486769317,INM-CM4-8,ssp585
2068.5,2.952577917226324,1.6717485823541989,1.6696257492873856,INM-CM4-8,ssp585
2069.5,2.9903857225361796,1.6630414877798794,1.660250421845542,INM-CM4-8,ssp585
2070.5,3.0246809677498354,1.647617884382914,1.643705964977153,INM-CM4-8,ssp585
2071.5,3.0600651763573166,1.6356993811755554,1.6316143863838035,INM-CM4-8,ssp585
