year,arm,component,gmst,med,p05,p17,p83,p95,n_finite,tap_onset_K,tap_V_m,tap_tau
2005,raw,gis,1.0968719657186246,-0.002475773666968273,-0.007471842375187654,-0.0055540273900300625,0.0008769270718574696,0.0034608261546980484,2000,6.5,2.0,50.0
2006,raw,gis,1.0984719007574693,0.10320776387111819,0.09978617550006823,0.10121793087906666,0.10534548610713058,0.10744202743901056,2000,6.5,2.0,50.0
2007,raw,gis,0.9923768664939226,0.1645779054449843,0.15952321447957948,0.16155502211651893,0.1682511549890938,0.17084257207564796,2000,6.5,2.0,50.0
2008,raw,gis,1.0497320949049442,0.23644175292309244,0.229065055993097,0.2320851522046382,0.2413169844485331,0.24506937189342962,2000,6.5,2.0,50.0
2009,raw,gis,1.3028825879834092,0.2773954321456724,0.2663758417549164,0.2708038067102335,0.2844513496287131,0.28907678826794625,2000,6.5,2.0,50.0
2010,raw,gis,1.3555038927091612,0.3313882955117755,0.31695911760601564,0.32257334411732713,0.3404113483627542,0.34660257381339094,2000,6.5,2.0,50.0
2011,raw,gis,1.1770100687236322,0.5420803732419928,0.5177703697686981,0.5271800694567262,0.5555269494028202,0.5674663131297839,2000,6.5,2.0,50.0
2012,raw,gis,1.342708769786384,0.5726512608578873,0.551775627701141,0.5602782331549487,0.5841458694073897,0.5936730673448896,2000,6.5,2.0,50.0
2013,raw,gis,1.2752096099929418,0.6515519818535966,0.6286640033070463,0.6386743739933575,0.6635211665717163,0.6732885386578223,2000,6.5,2.0,50.0
2014,raw,gis,1.2059632677300745,0.7080152203487597,0.68512057857223,0.6963085800613824,0.719135729556401,0.7285778175987166,2000,6.5,2.0,50.0
2015,raw,gis,1.3661008692418666,0.7813017613922604,0.7568175965995363,0.7689526844199948,0.7928516785524851,0.803320023487875,2000,6.5,2.0,50.0
2016,raw,gis,1.604195279659905,0.780388370500753,0.7567611762262467,0.7681894836949428,0.7916620988858054,0.8018895891431352,2000,6.5,2.0,50.0
2017,raw,gis,1.6220473580577655,0.8953451777822905,0.8653676300499679,0.8796643520199503,0.9093603594919724,0.921233626247307,2000,6.5,2.0,50.0
2018,raw,gis,1.4640245845058641,0.9436329127096155,0.9140810621659584,0.9282672679003944,0.9577490763264844,0.9700236983589003,2000,6.5,2.0,50.0
2019,raw,gis,1.465258594579382,0.9738084485973357,0.9449260370108117,0.9588646769193199,0.9877125646773005,1.0003188096979507,2000,6.5,2.0,50.0
2020,raw,gis,1.4960913511191432,1.0687820037690257,1.03558079664875,1.0520608647123044,1.0845684134594535,1.0983715620323944,2000,6.5,2.0,50.0
2021,raw,gis,1.688978592895239,1.122324589762893,1.087063195232865,1.1043418831586616,1.1391078143516447,1.1534656346889491,2000,6.5,2.0,50.0
2022,raw,gis,1.491409612965261,1.2179029148927323,1.1793868777224514,1.1980947510884876,1.2362259428722515,1.2517871151707216,2000,6.5,2.0,50.0
2023,raw,gis,1.513006396244729,1.2582833591730331,1.2190521650158228,1.2371863159649992,1.2781648124376508,1.2944270780927452,2000,6.5,2.0,50.0
2024,raw,gis,1.6225949772225665,1.3026799386873216,1.26071661366317,1.2804820188850243,1.3246141222413528,1.3420472014525273,2000,6.5,2.0,50.0
2025,raw,gis,1.7007465741852457,1.3350078918293757,1.2902566413431533,1.3105118496683994,1.3588461569290327,1.377758816628346,2000,6.5,2.0,50.0
2026,raw,gis,1.6838604606695449,1.4005839585651776,1.3515309309215846,1.3737917952752507,1.427175489773342,1.4463066327251561,2000,6.5,2.0,50.0
2027,raw,gis,1.7730418430375607,1.462826870590816,1.410021827393174,1.4341481747193603,1.4922105871703812,1.5120567284131856,2000,6.5,2.0,50.0
2028,raw,gis,1.8872990572533581,1.533415523318177,1.4770119158428852,1.5020281381940674,1.5656495072316798,1.5875581300378823,2000,6.5,2.0,50.0
2029,raw,gis,1.9449379463202188,1.6161491120809117,1.5550011423934693,1.58190805572327,1.6510289282901804,1.674775990905136,2000,6.5,2.0,50.0
2030,raw,gis,1.9089660350180868,1.7040052388203626,1.6377532406446518,1.666703726401228,1.7421423364491169,1.7682369942877791,2000,6.5,2.0,50.0
2031,raw,gis,1.732931684001528,1.7851915685875794,1.7126671246522962,1.743798223779258,1.8261962961710918,1.8550110393705894,2000,6.5,2.0,50.0
2032,raw,gis,1.7341065838197853,1.8451544758866225,1.767092212316565,1.8005099322221776,1.8888554548469096,1.9196295799300942,2000,6.5,2.0,50.0
2033,raw,gis,1.7503036328626915,1.904405895844342,1.821164531256687,1.856133884486104,1.9510645043248733,1.983026470927192,2000,6.5,2.0,50.0
2034,raw,gis,1.8773232329219809,1.963638832008387,1.875343850481386,1.9121988742394975,2.0135350779200745,2.047077405024045,2000,6.5,2.0,50.0
2035,raw,gis,1.8894504547369213,2.035731165928286,1.9418462164001047,1.9800967746890141,2.088444183546549,2.125041807707121,2000,6.5,2.0,50.0
2036,raw,gis,2.047699221245997,2.1070217267965807,2.0069917598716156,2.0480842414550855,2.163166594980305,2.202284113095776,2000,6.5,2.0,50.0
2037,raw,gis,2.068418384729777,2.195781084853682,2.0855035183655044,2.1321284513833816,2.254930211395113,2.2990777551642916,2000,6.5,2.0,50.0
2038,raw,gis,2.2345444712403455,2.2843810710463344,2.165649918272703,2.2150327128701,2.3485218616894983,2.395588943042136,2000,6.5,2.0,50.0
2039,raw,gis,2.193171057208057,2.39039909049917,2.2612102175883724,2.3165602939472576,2.461518977821891,2.511217164264737,2000,6.5,2.0,50.0
2040,raw,gis,2.1954775589615756,2.488224483924291,2.3507168258688527,2.409191869625094,2.566127223339063,2.621748956933179,2000,6.5,2.0,50.0
2041,raw,gis,2.3792135418383964,2.5840630138495166,2.4369764482994025,2.498769105838673,2.669013995039938,2.728152669620957,2000,6.5,2.0,50.0
2042,raw,gis,2.5036394862542957,2.7018218732029866,2.5403885311381758,2.60704051635227,2.796161640624125,2.859047659921191,2000,6.5,2.0,50.0
2043,raw,gis,2.5874930128196447,2.8305406412717287,2.6537743939199516,2.724232069950774,2.938287129202888,3.0064985869981826,2000,6.5,2.0,50.0
2044,raw,gis,2.6962707569551494,2.966777765692817,2.7716976693471467,2.848682066504474,3.088090284508404,3.1663517653874074,2000,6.5,2.0,50.0
2045,raw,gis,2.674602136619569,3.115811426300347,2.90162292900094,2.980179314890835,3.2515447861052396,3.339150927452249,2000,6.5,2.0,50.0
2046,raw,gis,2.6176444585255276,3.255336026175357,3.0225537706853878,3.106813434622387,3.406019384396224,3.500674267180347,2000,6.5,2.0,50.0
2047,raw,gis,2.777565815718068,3.3818930967332155,3.1319139473349797,3.2212167560794756,3.5472976575528676,3.6482359254613743,2000,6.5,2.0,50.0
2048,raw,gis,2.8934564846305952,3.5264925332352552,3.2567127185636364,3.350547050376401,3.708291549165433,3.815321049020539,2000,6.5,2.0,50.0
2049,raw,gis,2.8449709908773193,3.685055040979891,3.391115760508462,3.490927590424101,3.8846311662190676,4.003664188655327,2000,6.5,2.0,50.0
2050,raw,gis,2.8886113322561378,3.8329763840235627,3.519465443074594,3.6231738335395747,4.051377258580858,4.180611394644806,2000,6.5,2.0,50.0
2051,raw,gis,2.925139689374305,3.986799415875183,3.6494450932970524,3.7602533180891986,4.223513467070136,4.358795506448788,2000,6.5,2.0,50.0
2052,raw,gis,3.0643921514316426,4.143436134387092,3.77777528138105,3.89716054751434,4.396910461161207,4.542806028320645,2000,6.5,2.0,50.0
2053,raw,gis,3.147425127963402,4.3169129169688105,3.9200847778656733,4.049650820668591,4.5924766696341806,4.754901560719896,2000,6.5,2.0,50.0
2054,raw,gis,3.1409611794612338,4.499621167425535,4.069381263440533,4.2077385161680185,4.799432437396165,4.972270553928469,2000,6.5,2.0,50.0
2055,raw,gis,3.1786231161031733,4.67857402449292,4.21360469249752,4.362830575571295,5.0010620611373815,5.185920640383748,2000,6.5,2.0,50.0
2056,raw,gis,3.4428698991594806,4.8610741711193235,4.3607120800989305,4.520124727397824,5.203979072697449,5.404430125449295,2000,6.5,2.0,50.0
2057,raw,gis,3.403149763011337,5.076476107476538,4.538269067763884,4.708276665367895,5.451143926451696,5.6807548673721575,2000,6.5,2.0,50.0
2058,raw,gis,3.3595800492322305,5.282255304499989,4.705396893652572,4.883177470999867,5.684469667451074,5.938541101434069,2000,6.5,2.0,50.0
