year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2240,SSP4-6.0,4.119186658761981,22.25633558282688,18.16805798772282,25.294103026303006
2241,SSP4-6.0,4.128942376248684,22.299327791576175,18.206010847226732,25.35123907003596
2242,SSP4-6.0,4.130263226568847,22.34188057858814,18.24384802411985,25.401940734543878
2243,SSP4-6.0,4.14004584331116,22.3856855421661,18.281449622255078,25.452354604075015
2244,SSP4-6.0,4.14787699757227,22.42733350803574,18.318938448761887,25.513094872286107
2245,SSP4-6.0,4.152613040936561,22.468865473032047,18.35628709769644,25.576980800619783
2246,SSP4-6.0,4.156384515261348,22.510567763942667,18.39607726917469,25.64069761305847
2247,SSP4-6.0,4.153419356872023,22.55254971037202,18.435698355983547,25.704226703919
2248,SSP4-6.0,4.153754201300117,22.587484910437354,18.475049473522834,25.767430642836697
2249,SSP4-6.0,4.150222569459099,22.625425601214175,18.511724451473263,25.8303817915672
2250,SSP4-6.0,4.149298977442855,22.665897095397177,18.547528104610457,25.893003022552232
2251,SSP4-6.0,4.15448139103748,22.7024341661035,18.583090752163,25.95535250946286
2252,SSP4-6.0,4.153291733307867,22.74177975622416,18.61800023647805,26.01755993366769
2253,SSP4-6.0,4.147819092526934,22.786455284456302,18.645469059088796,26.079494448305773
2254,SSP4-6.0,4.1543650844033415,22.82307300761031,18.67195735543144,26.141070496886876
2255,SSP4-6.0,4.1619128714337705,22.85238138607677,18.693540830939913,26.20254172633464
2256,SSP4-6.0,4.1658042765541445,22.882327298868162,18.715086373942334,26.263643375038583
2257,SSP4-6.0,4.172489208412542,22.920450074437703,18.736506250625705,26.32141280128773
2258,SSP4-6.0,4.171884802848184,22.958493045287927,18.759026735169588,26.359648716408564
2259,SSP4-6.0,4.1692934576432545,22.995064355764423,18.781936269743106,26.40499756544888
2260,SSP4-6.0,4.166197618762762,23.027963010695935,18.804583625506066,26.466884538188776
2261,SSP4-6.0,4.164802134079034,23.0605425583025,18.826961563702753,26.52846245367888
2262,SSP4-6.0,4.162334347156987,23.095484933682936,18.851452490066112,26.589759531295662
2263,SSP4-6.0,4.159409890359732,23.14070342569402,18.88330494148353,26.65049068766045
2264,SSP4-6.0,4.154470421542577,23.186019304035156,18.91492993661791,26.71080583069149
2265,SSP4-6.0,4.159204445928981,23.225096786462814,18.94629386182957,26.770792975897578
2266,SSP4-6.0,4.168622885568397,23.259355774582342,18.97757685107337,26.83060368133896
2267,SSP4-6.0,4.1715938126724605,23.295914239109933,19.008864477810516,26.88617345063354
2268,SSP4-6.0,4.175002281324927,23.332364173585404,19.04003884435841,26.923063266566544
2269,SSP4-6.0,4.1801943876957965,23.368577641178025,19.071109108493832,26.965734464487632
2270,SSP4-6.0,4.180889247378631,23.403014699971077,19.102108487199697,27.020982451140732
2271,SSP4-6.0,4.175059683682422,23.43412246883889,19.132956489346945,27.076017694935107
2272,SSP4-6.0,4.172620293173388,23.46169272825295,19.163537451468983,27.13071438974187
2273,SSP4-6.0,4.175174762000067,23.494647138056393,19.19391628484386,27.18030582031751
2274,SSP4-6.0,4.172859925334422,23.52894623946012,19.224186029032726,27.219268187369504
2275,SSP4-6.0,4.170694447895849,23.569431214543016,19.254259958190374,27.257864545442864
2276,SSP4-6.0,4.179883408126429,23.60549702123162,19.284143417086774,27.29910189532903
2277,SSP4-6.0,4.181147566904199,23.63927174917173,19.314044104754824,27.352993820630832
2278,SSP4-6.0,4.180405020937093,23.67287142605135,19.343859871210245,27.406683636241056
2279,SSP4-6.0,4.186737608139609,23.706257178564137,19.37394121661804,27.460137892003406
2280,SSP4-6.0,4.181142418975219,23.74482320994149,19.40398517250616,27.513483080904408
2281,SSP4-6.0,4.178391250520636,23.776596073273602,19.433783344882134,27.566510515415622
2282,SSP4-6.0,4.176594938737204,23.807187210076034,19.463388737515864,27.619273212033804
