year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2133,SSP3-7.0,4.721145909880043,21.205697240243154,17.42233543332489,24.996675631121803
2134,SSP3-7.0,4.7547421274495605,21.39214741797103,17.558619572757365,25.245389762364642
2135,SSP3-7.0,4.776605296994478,21.579607673811037,17.688053961883433,25.49165433335033
2136,SSP3-7.0,4.798473265584326,21.757432996981645,17.811280086974808,25.737142279647074
2137,SSP3-7.0,4.816573384173357,21.942861644926538,17.93300789959194,25.983019751571288
2138,SSP3-7.0,4.834797201494897,22.12465646440274,18.047922052566445,26.22765827861878
2139,SSP3-7.0,4.860420875437043,22.30364273027756,18.166943754633856,26.471054849984764
2140,SSP3-7.0,4.880775792279605,22.4809258069919,18.267507559863397,26.72148275896848
2141,SSP3-7.0,4.901374409842672,22.658981538707064,18.3663672878616,26.964082784162613
2142,SSP3-7.0,4.920887029208478,22.847489256072627,18.463932604412456,27.198064387835032
2143,SSP3-7.0,4.951155152780534,23.028983391486875,18.566165000232523,27.443778590538315
2144,SSP3-7.0,4.97719457382588,23.1987916953301,18.694870567325232,27.688487870004753
2145,SSP3-7.0,4.998875894720032,23.37664666843827,18.77771429080171,27.918144772926052
2146,SSP3-7.0,5.020058171383643,23.55310298315655,18.859646362268897,28.155183467234536
2147,SSP3-7.0,5.041389199255739,23.722407095159667,18.965042598743416,28.40465019115841
2148,SSP3-7.0,5.063358495999153,23.904615208948,19.07440472348113,28.636252935233106
2149,SSP3-7.0,5.0798544194710455,24.090166318469837,19.158624167153157,28.856144141643465
2150,SSP3-7.0,5.099230727533028,24.265313277350785,19.27106308428342,29.086822479965406
2151,SSP3-7.0,5.121001135927263,24.447459140856665,19.382208441510752,29.30067785855203
2152,SSP3-7.0,5.139257339096508,24.627466462152654,19.499778169292064,29.528512858820456
2153,SSP3-7.0,5.159389843908222,24.789755230339452,19.600645736497004,29.75548115521968
2154,SSP3-7.0,5.187990688103373,24.955908287179803,19.70762089435668,29.990652257993556
2155,SSP3-7.0,5.2161242681538145,25.12370713624877,19.813308380001796,30.2057794874753
2156,SSP3-7.0,5.2371390557552875,25.29042141716561,19.917886156792076,30.430315974314112
